"AllY1","AllY2","AllY3","pop.never.s1","pop.never.s2","sace.diff1","sace.diff2","ace.diff1","ace.diff2","ci1.L","ci1.H","ci2.L","ci2.H","ace.or1","ace.or2","sace.or1","sace.or2","betaE","betaU"
49455,145,400,0.9935,0.98374,0,-0.000140915953699044,7.96976175319578e-05,0.000664974668502277,-0.29998953849828,0.35212154643748,-0.113314541653651,0.280519628820759,1.02771839938473,1.08716836002768,1.02846463484761,1.08731043212761,1,2
49473,134,393,0.99456,0.98396,0.000243912354160738,0.000542953667953668,0.00044359757142765,-7.85306404951065e-05,-0.175098389982717,0.504983671754915,-0.208582562166257,0.188492965974912,1.17931572846768,0.990006252234037,1.16398220875039,0.999937377658339,1,2
49430,165,405,0.9938,0.9833,6.10190175938167e-05,-0.000482994566311129,-0.00035797591911726,-3.06741255058887e-05,-0.414197036633886,0.198072605282961,-0.199389158454115,0.191777118989612,0.897568016930768,0.996201864945138,0.965166269435932,1.00089311086754,1,2
49400,160,440,0.9938,0.98258,-0.000427446111258116,-4.02495471925941e-05,-1.6936892203236e-05,3.34942536839702e-05,-0.315667621305379,0.305141676811184,-0.183887279323136,0.191534571654092,0.994750656167979,1.00383513704623,0.994826673184244,1.0140616488617,1,2
49395,176,429,0.99278,0.9831,-0.00014240667276981,0.00102741795765426,-0.00054522562755691,0.000321083779653634,-0.451392324508889,0.142497035773101,-0.152486840610611,0.22772237569938,0.856888507191017,1.0383336834548,0.873853156540669,1.03862232364157,1,2
49432,162,406,0.99422,0.98368,-0.000345640858815875,-0.000482790529259118,-0.000466017647791096,-0.000994352313851735,-0.452638185865323,0.166061664257557,-0.319024033729841,0.0724581554300701,0.866404836034161,0.884053823434857,0.864829029343225,0.896662065384035,1,2
49427,117,456,0.99458,0.9819,0.000142580710866687,-0.000140762935108287,0.000199552893054146,-0.000165872992278274,-0.278679085072006,0.447819618263943,-0.202766687839233,0.166083112293404,1.08844858171396,0.981853545985168,1.10823076266564,0.977467052167915,1,2
49442,134,424,0.99432,0.98318,-0.000122052930287435,0.00054308472121651,-5.88824813006002e-06,-0.000495613277177599,-0.341256120746763,0.336934576376501,-0.250062501381269,0.13246270978605,0.997818005495394,0.942892243725005,0.981304390101609,0.938423120515475,1,2
49405,153,442,0.99368,0.9825,0.000223918575063613,-8.05088157153208e-05,0.000290720934105309,0.000344108101030382,-0.223360103332843,0.412217130139895,-0.148026410598642,0.226573543878538,1.09913374185974,1.03993500633907,1.07225237221001,1.03522050661015,1,2
49450,148,402,0.99402,0.98306,0.000122067829023661,-0.000724331502384258,0.000570796528348502,-0.000774555272312937,-0.131931758987366,0.516291644471283,-0.293400989581801,0.0996735479283224,1.21218667717624,0.907632842304394,1.18300863747322,0.902705777199967,1,2
