"AllY1","AllY2","AllY3","ace.or1","ace.or2","ace.cond.or1","ace.cond.or2","betaE1","betaE2","betaU1","betaU2"
48926,248,826,2.76585901927796,3.00322371596001,1.33328770755398,1.41120245883907,1,1.25,2,2
48986,228,786,2.67787103281096,2.58136724182014,1.17330664060078,1.15280765265014,1,1.25,2,2
49003,238,759,1.97299192070784,2.6436793363836,0.914271439307027,1.14918081310529,1,1.25,2,2
48915,240,845,2.31732623033993,2.91343017329256,1.15052060677854,1.28668937094071,1,1.25,2,2
48981,233,786,2.22469179772824,3.297429163572,1.08688233527599,1.39666073686342,1,1.25,2,2
49011,237,752,2.21234155388826,2.86890967966545,1.04598463278943,1.20689859907358,1,1.25,2,2
48955,227,818,2.61595173395445,2.86262748255502,1.24824532371085,1.3841425785373,1,1.25,2,2
48982,252,766,2.43286527328906,2.23019321911821,1.05706777355065,1.03763365206284,1,1.25,2,2
48972,252,776,2.12807756091338,2.66443513742231,0.836288149047019,1.1856773687697,1,1.25,2,2
48944,246,810,2.18346333656501,2.87666315235399,0.960667738230464,1.37771913154499,1,1.25,2,2
48947,233,820,1.63612717123278,2.67410846767382,0.807509203758141,1.208189135171,1,1.25,2,2
48982,255,763,2.20412652891144,2.92789534992546,1.04017242525747,1.36221866699048,1,1.25,2,2
49002,247,751,3.00577827995112,2.72275741985336,1.45934112090008,1.28804239962201,1,1.25,2,2
49001,236,763,2.19244781783681,2.36681343553947,1.08324060720388,1.1569245440566,1,1.25,2,2
48952,259,789,2.32398669930206,2.52521687409723,0.962700791040662,1.11821375096348,1,1.25,2,2
48979,239,782,1.96894308325419,2.93733907692308,0.934897890172267,1.36749498580817,1,1.25,2,2
48969,246,785,2.49833637293972,2.77536278708202,1.13896441686371,1.22000440672985,1,1.25,2,2
49019,224,757,2.04731756486199,2.94962630261499,0.960586639396408,1.39638304249575,1,1.25,2,2
49015,224,761,2.46220178860993,2.80824839143951,1.01449139850574,1.24861657963076,1,1.25,2,2
49005,245,750,1.8770445788237,2.95059012213678,0.834736394699271,1.38531941985173,1,1.25,2,2
48980,243,777,1.69050289972116,2.62858989807702,0.774205281709407,1.19264047600264,1,1.25,2,2
48974,273,753,1.91940191742343,2.71258230229361,0.79701509893263,1.27391240107991,1,1.25,2,2
48977,253,770,2.27856304163444,2.77686947814433,0.84664535659722,1.36006361305475,1,1.25,2,2
48961,266,773,2.40578946325819,2.42943206071352,1.06722773166397,1.10133137784558,1,1.25,2,2
48966,250,784,2.12894704133632,3.01992111242813,0.897551870873122,1.39299580588468,1,1.25,2,2
48973,248,779,2.35877696554193,2.92096586687538,0.954164413804787,1.32669648562747,1,1.25,2,2
49002,230,768,1.86068205343857,2.77554963272801,0.7800858643072,1.30850730197981,1,1.25,2,2
48983,251,766,1.69268918565069,2.83976481969239,0.778249251128309,1.26587573535027,1,1.25,2,2
48997,215,788,1.75043918918919,2.64464085707329,0.6888478451236,1.28731211862577,1,1.25,2,2
49010,247,743,2.71965975909817,2.88484346927943,1.30928866288141,1.27098704813254,1,1.25,2,2
49040,210,750,2.450026725102,3.18004133415433,1.09614922291996,1.3944300601861,1,1.25,2,2
48963,248,789,2.38803676886173,3.01108084469772,1.14580986776066,1.4755445634315,1,1.25,2,2
48979,243,778,2.17557136394625,2.74577257219837,1.00975894783098,1.27970039849885,1,1.25,2,2
48991,240,769,2.14778588464747,2.7364885222722,1.01999551680417,1.17151978298093,1,1.25,2,2
48935,249,816,1.98565560574869,2.80549319839952,0.935453731908854,1.23081273495111,1,1.25,2,2
48976,251,773,2.52519801255756,2.55315602000995,1.16505794437587,1.26034224110368,1,1.25,2,2
48978,231,791,1.78924850360337,2.75542688248243,0.779056411316723,1.23899100223625,1,1.25,2,2
48997,258,745,2.49122752021119,2.8797291637582,1.09906289289709,1.3136460333932,1,1.25,2,2
48971,251,778,2.26195091771499,2.86954739000158,1.05336569687383,1.39186252140859,1,1.25,2,2
